rank,date,artist,title,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms,time_signature,bx_speechiness,bx_acousticness,lg_liveness,pc1,pc2,cluster
19,2017-01-01,Young M.A,OOOUUU,"456,308",0.635,0.847,7.0,-3.1519999999999997,1.0,0.447,0.5329999999999999,0.154,0.568,166.072,spotify:track:7JYsArznYOjX2jsrT3UEnL,234650.0,4.0,-0.8565585213764602,-0.58551309331682,-1.870802676568508,-1.3649993049330165,0.1142401237678919,4
20,2017-01-01,The Weeknd,Party Monster,"456,291",0.573,0.63,1.0,-8.389,1.0,0.105,0.18899999999999997,0.259,0.218,77.525,spotify:track:4F7A0DXBrmUAkp32uenhZt,249213.0,4.0,-2.6881103793868255,-1.3821168622593474,-1.3509272172825992,0.6898059658826169,0.9813603014063695,6
21,2017-01-01,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),"449,345",0.652,0.795,11.0,-5.192,0.0,0.174,0.156,0.12300000000000001,0.7879999999999999,135.018,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,304607.0,4.0,-2.0032158454113715,-1.509697285066807,-2.0955709236097193,-0.9988328800346599,-0.24256705740029733,4
22,2017-01-01,21 Savage,No Heart,"447,063",0.9059999999999999,0.444,4.0,-8.692,0.0,0.384,0.136,0.17300000000000001,0.6779999999999999,140.063,spotify:track:4gmmRb6bZJffOOiww1JGTO,235040.0,4.0,-1.0302572487394133,-1.5975006641208374,-1.754463684484358,0.507189373834986,-0.7959949761082811,5
23,2017-01-01,Hailee Steinfeld,Starving,"446,785",0.7290000000000001,0.615,4.0,-4.238,1.0,0.0647,0.37799999999999995,0.105,0.508,99.98899999999999,spotify:track:4Ce37cRWvM1vIGGynKcs22,181880.0,4.0,-3.395938785489298,-0.8710041074546998,-2.2537949288246137,-0.4171496902056761,-0.45770250481110447,4
24,2017-01-01,The Chainsmokers,Don't Let Me Down,"446,177",0.532,0.8690000000000001,11.0,-5.093999999999999,1.0,0.172,0.157,0.136,0.42200000000000004,159.803,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,208373.0,4.0,-2.018311033211789,-1.505539641340512,-1.995100393246085,-0.9303529239771995,0.4026646884222696,2
25,2017-01-01,Ariana Grande,Side To Side,"440,123",0.65,0.736,6.0,-5.84,0.0,0.22899999999999998,0.0513,0.235,0.612,159.174,spotify:track:1pKeFVVUOPjFsOABub0OaV,226160.0,4.0,-1.652272191463151,-2.1471530795480174,-1.448169764837978,-0.8432360299515576,0.42546660344300236,2
26,2017-01-01,Shawn Mendes,Treat You Better,"438,954",0.444,0.8190000000000001,10.0,-4.078,0.0,0.341,0.106,0.107,0.747,82.695,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,187973.0,4.0,-1.168867767665794,-1.7500212645200754,-2.234926444520231,-1.1178900075588374,0.20531778360639846,4
27,2017-01-01,Martin Garrix,In the Name of Love,"435,945",0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.45399999999999996,0.168,133.99,spotify:track:23L5CiUhw2jV1OIMwthR3S,195707.0,4.0,-4.116192218842168,-1.7333756734176278,-0.7896580809407892,0.22173974596370752,1.7423000604197731,6
28,2017-01-01,Drake,Sneakin’,"419,434",0.8059999999999999,0.5579999999999999,8.0,-6.537999999999999,1.0,0.172,0.00496,0.16,0.26,85.01100000000001,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,251333.0,4.0,-2.018311033211789,-3.053690735030832,-1.8325814637483102,-0.15807931698769168,-0.24168977255487378,1
29,2017-01-01,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","417,329",0.669,0.8320000000000001,0.0,-5.72,1.0,0.0682,0.0106,0.0968,0.7,113.035,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,237547.0,4.0,-3.3163728419374148,-2.810867959331557,-2.3351082846996056,-1.1184533908611152,-0.39583986366062685,4
30,2017-01-01,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"405,483",0.8029999999999999,0.585,8.0,-5.861000000000001,1.0,0.0432,0.10300000000000001,0.0644,0.593,105.01700000000001,spotify:track:4tCtwWceOPWzenK2HAIJSb,214480.0,4.0,-4.027611170580752,-1.7670328302198082,-2.7426416458718292,-0.2074833957629707,-1.1946283472976555,5
31,2017-01-01,Twenty One Pilots,Heathens,"401,620",0.732,0.396,4.0,-9.347999999999999,0.0,0.0286,0.0841,0.105,0.5479999999999999,90.024,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920.0,4.0,-4.713897226156179,-1.883984334589703,-2.2537949288246137,1.1572831646955557,-0.5698466903765109,3
32,2017-01-01,Lil Uzi Vert,You Was Right,"401,546",0.843,0.359,0.0,-7.417000000000001,1.0,0.461,0.069,0.12,0.156,81.98700000000001,spotify:track:2ANLarE8yHVsLWW21nj79M,163944.0,4.0,-0.8217843652434644,-1.9929753386719447,-2.120263536200091,0.8261375042130754,-0.7375692016035851,5
33,2017-01-01,Ariana Grande,Into You,"370,887",0.623,0.7340000000000001,9.0,-5.95,1.0,0.107,0.0162,0.145,0.37200000000000005,107.853,spotify:track:2meEiZKWkiN28gITzFwQo5,244453.0,4.0,-2.6615683525319636,-2.6554553995850663,-1.9310215365615626,-0.5896821484014241,0.2197153650617396,1
34,2017-01-01,Drake,Too Good,"368,536",0.7929999999999999,0.653,7.0,-7.8389999999999995,1.0,0.10300000000000001,0.0484,0.1,0.39299999999999996,117.993,spotify:track:3BtuIIrQlkujKPuWF2B85z,263373.0,4.0,-2.715241329193524,-2.1761967538958378,-2.3025850929940455,0.0605486593395366,-0.6716967738739832,5
