,rank,date,artist,title,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,days
30,31,2017-01-01,Twenty One Pilots,Heathens,"401,620",0.732,0.396,4.0,-9.347999999999999,0.0,0.0286,0.0841,3.5799999999999996e-05,0.105,0.5479999999999999,90.024,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920.0,4.0,209.0
31,32,2017-01-01,Lil Uzi Vert,You Was Right,"401,546",0.843,0.359,0.0,-7.417000000000001,1.0,0.461,0.069,0.0,0.12,0.156,81.98700000000001,spotify:track:2ANLarE8yHVsLWW21nj79M,163944.0,4.0,281.0
32,33,2017-01-01,Ariana Grande,Into You,"370,887",0.623,0.7340000000000001,9.0,-5.95,1.0,0.107,0.0162,1.9e-06,0.145,0.37200000000000005,107.853,spotify:track:2meEiZKWkiN28gITzFwQo5,244453.0,4.0,67.0
33,34,2017-01-01,Drake,Too Good,"368,536",0.7929999999999999,0.653,7.0,-7.8389999999999995,1.0,0.10300000000000001,0.0484,4.91e-05,0.1,0.39299999999999996,117.993,spotify:track:3BtuIIrQlkujKPuWF2B85z,263373.0,4.0,127.0
34,35,2017-01-01,Drake,Controlla,"365,140",0.611,0.46799999999999997,10.0,-11.084000000000001,0.0,0.179,0.0781,0.0,0.10099999999999999,0.349,92.09200000000001,spotify:track:3O8NlPh2LByMU9lSRSHedm,245227.0,4.0,165.0
35,36,2017-01-01,Calvin Harris,This Is What You Came For (feat. Rihanna),"362,959",0.63,0.9279999999999999,9.0,-2.787,0.0,0.0331,0.19899999999999998,0.124,0.14800000000000002,0.465,123.963,spotify:track:0azC730Exh71aQlOt9Zj3y,222160.0,4.0,44.0
36,37,2017-01-01,James Arthur,Say You Won't Let Go,"361,392",0.358,0.557,10.0,-7.398,1.0,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999999,spotify:track:5uCax9HTNlzGybIStD3vDh,211467.0,4.0,766.0
37,38,2017-01-01,The Chainsmokers,All We Know (feat. Phoebe Ryan),"351,014",0.662,0.586,0.0,-8.821,1.0,0.0307,0.09699999999999999,0.0027199999999999998,0.115,0.29600000000000004,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,194080.0,4.0,84.0
38,39,2017-01-01,Young Thug,pick up the phone,"350,286",0.711,0.7390000000000001,7.0,-3.804,0.0,0.129,0.114,0.0,0.226,0.43,136.91899999999998,spotify:track:20dP2DaMHIAmwWAbp7peSr,252256.0,4.0,341.0
39,40,2017-01-01,KYLE,iSpy (feat. Lil Yachty),"349,836",0.746,0.653,7.0,-6.745,1.0,0.289,0.37799999999999995,0.0,0.22899999999999998,0.672,75.016,spotify:track:2EEeOnHehOozLq4aS0n6SL,253107.0,4.0,493.0
40,41,2017-01-01,Sia,Cheap Thrills,"345,244",0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,spotify:track:3S4px9f4lceWdKf0gWciFu,211667.0,4.0,35.0
41,42,2017-01-01,Rihanna,Needed Me,"342,524",0.6709999999999999,0.314,5.0,-8.091000000000001,0.0,0.244,0.11,0.0,0.0825,0.29600000000000004,110.898,spotify:track:4pAl7FkDMNBsjykPXo91B3,191600.0,4.0,164.0
43,44,2017-01-01,Desiigner,Panda,"332,310",0.685,0.731,10.0,-5.502999999999999,0.0,0.414,0.0292,0.0,0.369,0.266,145.245,spotify:track:275a9yzwGB6ncAW4SxY7q3,247867.0,4.0,196.0
44,45,2017-01-01,Alessia Cara,Scars To Your Beautiful,"331,379",0.573,0.7390000000000001,0.0,-5.74,1.0,0.129,0.0285,0.0,0.111,0.451,97.085,spotify:track:0prNGof3XqfTvNDxHonvdK,230227.0,4.0,116.0
45,46,2017-01-01,Shawn Mendes,Mercy,"323,626",0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.35600000000000004,148.128,spotify:track:0AS63m1wHv9n4VVRizK6Hc,208733.0,4.0,125.0
46,47,2017-01-01,J. Cole,Neighbors,"317,884",0.898,0.28300000000000003,6.0,-12.335,0.0,0.35600000000000004,0.319,0.000383,0.11,0.469,138.97,spotify:track:0utlOiJy2weVl9WTkcEWHy,216520.0,4.0,268.0
47,48,2017-01-01,Rihanna,Work,"316,050",0.725,0.534,11.0,-6.2379999999999995,1.0,0.0946,0.0752,0.0,0.0919,0.5579999999999999,91.97399999999999,spotify:track:72TFWvU3wUYdUuxejTTIzt,219320.0,4.0,81.0
49,50,2017-01-01,Rae Sremmurd,Swang,"308,264",0.6809999999999999,0.314,8.0,-9.318999999999999,1.0,0.0581,0.2,9.82e-06,0.1,0.166,139.99200000000002,spotify:track:6mapJIPnQ23RTAevUoE0DL,208120.0,4.0,354.0
50,51,2017-01-01,The Weeknd,Six Feet Under,"307,482",0.772,0.504,6.0,-8.219,0.0,0.0761,0.129,0.0,0.125,0.244,140.035,spotify:track:4mU5iXHeLgbR94siF7p1sY,237573.0,4.0,77.0
52,53,2017-01-01,Adele,Send My Love (To Your New Lover),"302,383",0.69,0.524,6.0,-8.39,0.0,0.10300000000000001,0.0415,3.16e-06,0.17,0.562,164.023,spotify:track:4BHzQ9C00ceJxfG16AlNWb,223080.0,4.0,36.0
53,54,2017-01-01,John Legend,Love Me Now,"301,472",0.488,0.762,8.0,-3.842,1.0,0.0865,0.591,0.0,0.0763,0.7090000000000001,123.889,spotify:track:6nxQdXa1uAL0rY72wPZu89,210293.0,4.0,71.0
54,55,2017-01-01,Justin Bieber,Love Yourself,"300,179",0.609,0.37799999999999995,4.0,-9.828,1.0,0.43799999999999994,0.835,0.0,0.28,0.515,100.41799999999999,spotify:track:50kpGaPAhYJ3sGmk6vplg0,233720.0,4.0,42.0
55,56,2017-01-01,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"299,010",0.807,0.887,1.0,-3.892,1.0,0.275,0.00381,0.0,0.391,0.78,160.517,spotify:track:1lItf5ZXJc1by9SbPeljFd,144244.0,4.0,35.0
56,57,2017-01-01,Drake,Jumpman,"297,396",0.852,0.5529999999999999,1.0,-7.2860000000000005,1.0,0.187,0.0559,0.0,0.332,0.6559999999999999,142.079,spotify:track:27GmP9AWRs744SzKcpJsTZ,205879.0,4.0,121.0
57,58,2017-01-01,The Weeknd,Sidewalks,"295,550",0.542,0.72,1.0,-5.136,0.0,0.0628,0.147,0.0,0.348,0.623,149.828,spotify:track:4h90qkbnW1Qq6pBhoPvwko,231360.0,4.0,71.0
58,59,2017-01-01,The Jackson 5,I Want You Back,"284,664",0.469,0.5379999999999999,8.0,-13.559000000000001,1.0,0.0571,0.305,0.00011999999999999999,0.37,0.8859999999999999,196.605,spotify:track:5LxvwujISqiB8vpRYv887S,176333.0,4.0,5.0
59,60,2017-01-01,DNCE,Cake By The Ocean,"282,236",0.774,0.753,4.0,-5.445,0.0,0.0517,0.153,0.0,0.0371,0.8959999999999999,119.00200000000001,spotify:track:76hfruVvmfQbw0eYn1nmeC,219147.0,4.0,3.0
60,61,2017-01-01,Future,Low Life (feat. The Weeknd),"278,813",0.722,0.331,8.0,-7.789,1.0,0.0725,0.337,0.28300000000000003,0.146,0.102,143.974,spotify:track:7EiZI6JVHllARrX9PUvAdX,313547.0,4.0,277.0
61,62,2017-01-01,Travis Scott,goosebumps,"276,401",0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,spotify:track:6gBFPUFcJLzWGx4lenP6h2,243837.0,4.0,1177.0
62,63,2017-01-01,Childish Gambino,Redbone,"272,870",0.743,0.34700000000000003,1.0,-11.174000000000001,1.0,0.121,0.16699999999999998,0.00951,0.10300000000000001,0.5720000000000001,160.143,spotify:track:0wXuerDYiBnERgIpbb3JBR,326933.0,4.0,572.0
63,64,2017-01-01,Steve Aoki,Just Hold On,"272,841",0.647,0.932,11.0,-3.517,1.0,0.083,0.0037700000000000003,1.69e-06,0.0574,0.387,115.0,spotify:track:508oFmt92FyICj6pZiWQwC,198774.0,4.0,79.0
64,65,2017-01-01,Michael Jackson,Billie Jean,"269,981",0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,spotify:track:5ChkMS8OtdzJeqyybCc9R5,293827.0,4.0,4.0
65,66,2017-01-01,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"265,739",0.72,0.763,9.0,-4.0680000000000005,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,spotify:track:5knuzwU65gJK7IF5yJsuaW,251088.0,4.0,183.0
66,67,2017-01-01,J. Cole,Immortal,"264,865",0.7440000000000001,0.43,3.0,-10.604000000000001,0.0,0.309,0.455,2.73e-06,0.126,0.266,92.039,spotify:track:6AGON2BGdPmPMJGiiNuuwl,201667.0,4.0,63.0
67,68,2017-01-01,Twenty One Pilots,Ride,"264,707",0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.5660000000000001,74.98899999999999,spotify:track:2Z8WuEywRWYTKe1NybPQEW,214507.0,4.0,182.0
68,69,2017-01-01,Marvin Gaye,Ain't No Mountain High Enough,"260,834",0.6629999999999999,0.6,7.0,-10.87,1.0,0.032,0.43,0.0,0.184,0.8,129.991,spotify:track:7tqhbajSfrz2F7E1Z75ASX,151667.0,4.0,8.0
69,70,2017-01-01,Lil Uzi Vert,Money Longer,"259,985",0.795,0.568,5.0,-7.817,0.0,0.142,0.0541,0.0,0.10800000000000001,0.478,136.173,spotify:track:0B8QzDH7YWih85V5SEMnyJ,198944.0,4.0,393.0
70,71,2017-01-01,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","258,637",0.502,0.7859999999999999,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.7390000000000001,169.021,spotify:track:4dASQiO1Eoo3RJvt74FtXB,243491.0,4.0,154.0
71,72,2017-01-01,J. Cole,No Role Modelz,"253,285",0.696,0.521,10.0,-8.465,0.0,0.332,0.302,0.0,0.0565,0.45799999999999996,100.0,spotify:track:62vpWI1CHwFy7tMIcSStl8,292987.0,4.0,875.0
72,73,2017-01-01,Future,Used to This (feat. Drake),"249,166",0.618,0.727,3.0,-7.224,0.0,0.20800000000000002,0.0312,0.0,0.196,0.401,164.99200000000002,spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,180520.0,4.0,78.0
73,74,2017-01-01,Shakira,Chantaje (feat. Maluma),"244,295",0.852,0.773,8.0,-2.9210000000000003,0.0,0.0776,0.187,3.05e-05,0.159,0.907,102.03399999999999,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,195840.0,4.0,113.0
74,75,2017-01-01,Foster The People,Pumped Up Kicks,"242,742",0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,239600.0,4.0,6.0
75,76,2017-01-01,G-Eazy,Some Kind Of Drug (feat. Marc E. Bassy),"236,873",0.586,0.525,0.0,-8.968,1.0,0.498,0.0705,0.0,0.0729,0.491,126.51,spotify:track:1Bqxj0aH5KewYHKUg1IdrF,222467.0,4.0,94.0
76,77,2017-01-01,DJ ESCO,Too Much Sauce (feat. Future & Lil Uzi Vert),"235,274",0.96,0.547,6.0,-6.992000000000001,0.0,0.0786,0.0496,0.0,0.21600000000000003,0.18600000000000003,121.01,spotify:track:5oyUurs28XRagLa8lgm6V3,223093.0,4.0,50.0
77,78,2017-01-01,Sage The Gemini,Now and Later,"233,690",0.7809999999999999,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,spotify:track:08WPvDEsHvTFuB9w8tC2OS,193181.0,4.0,64.0
78,79,2017-01-01,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"233,185",0.6629999999999999,0.713,7.0,-6.647,0.0,0.11199999999999999,0.0353,7.68e-06,0.0843,0.69,101.965,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,197933.0,4.0,89.0
79,80,2017-01-01,Pharrell Williams,"Happy - From ""Despicable Me 2""","233,169",0.647,0.8220000000000001,5.0,-4.662,0.0,0.183,0.21899999999999997,0.0,0.0908,0.9620000000000001,160.019,spotify:track:60nZcImufyMA1MKQY3dcCH,232720.0,4.0,1.0
80,81,2017-01-01,The Weeknd,Reminder,"232,197",0.706,0.505,8.0,-6.922999999999999,1.0,0.193,0.142,0.0,0.16399999999999998,0.38799999999999996,160.053,spotify:track:37F0uwRSrdzkBiuj0D5UHI,218880.0,4.0,206.0
81,82,2017-01-01,Jon Bellion,All Time Low,"231,839",0.617,0.5670000000000001,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.24600000000001,spotify:track:0SuLAslEMFZAXf0SwY7syi,217603.0,4.0,152.0
82,83,2017-01-01,Lil Yachty,One Night,"227,622",0.764,0.475,0.0,-12.618,1.0,0.114,0.345,0.0,0.14,0.34,129.974,spotify:track:40yJGQyEaBbIkXpwMFkXip,243270.0,4.0,118.0
83,84,2017-01-01,M.I.A.,Paper Planes,"227,569",0.447,0.848,2.0,-6.175,1.0,0.222,0.033,7.45e-05,0.722,0.485,172.247,spotify:track:1kusepF3AacIEtUTYrw4GV,203760.0,4.0,3.0
84,85,2017-01-01,Twenty One Pilots,Stressed Out,"227,187",0.7340000000000001,0.637,4.0,-5.6770000000000005,0.0,0.141,0.0462,2.2899999999999998e-05,0.0602,0.648,169.977,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,202333.0,4.0,106.0
85,86,2017-01-01,David Guetta,Titanium (feat. Sia),"226,512",0.604,0.787,0.0,-3.674,0.0,0.10300000000000001,0.0679,0.15,0.127,0.301,126.06200000000001,spotify:track:0lHAMNU8RGiIObScrsRgmP,245040.0,4.0,1.0
86,87,2017-01-01,Queen,Bohemian Rhapsody - Remastered 2011,"223,789",0.392,0.402,0.0,-9.961,0.0,0.0536,0.28800000000000003,0.0,0.243,0.228,143.88299999999998,spotify:track:7tFiyTwD0nx5a1eklYtX2J,354320.0,4.0,374.0
87,88,2017-01-01,Post Malone,White Iverson,"221,512",0.675,0.562,7.0,-7.678,1.0,0.0352,0.233,0.0,0.0816,0.309,130.09799999999998,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,256533.0,4.0,543.0
88,89,2017-01-01,The Vamps,All Night,"220,922",0.54,0.8029999999999999,8.0,-5.194,1.0,0.0358,0.00403,0.0,0.33,0.501,144.997,spotify:track:0dXNQ8dckG4eYfEtq9zcva,197640.0,4.0,96.0
89,90,2017-01-01,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),"219,337",0.49,0.625,10.0,-7.247999999999999,1.0,0.185,0.49700000000000005,0.0,0.11800000000000001,0.748,78.762,spotify:track:5qYp1Wf3gh0lGWdIS5lIrX,215670.0,5.0,33.0
90,91,2017-01-01,G-Eazy,"Me, Myself & I","217,132",0.757,0.672,0.0,-6.524,0.0,0.0955,0.0186,0.0,0.158,0.382,111.99600000000001,spotify:track:40YcuQysJ0KlGQTeGUosTC,251467.0,4.0,72.0
91,92,2017-01-01,gnash,"i hate u, i love u (feat. olivia o'brien)","216,032",0.49200000000000005,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.10099999999999999,0.18,92.6,spotify:track:7vRriwrloYVaoAe3a9wJHe,251034.0,4.0,86.0
92,93,2017-01-01,Kodak Black,Too Many Years,"215,772",0.665,0.706,8.0,-6.859,0.0,0.0958,0.0237,0.0,0.11199999999999999,0.632,147.067,spotify:track:7KyTq7H5f3Oavmuo9TX6QK,196336.0,4.0,181.0
93,94,2017-01-01,Rihanna,Love On The Brain,"215,035",0.509,0.637,4.0,-4.83,0.0,0.0471,0.0717,1.0800000000000002e-05,0.0789,0.37799999999999995,172.00599999999997,spotify:track:5oO3drDxtziYU2H1X23ZIp,224000.0,3.0,227.0
94,95,2017-01-01,J. Cole,Change,"214,737",0.74,0.523,11.0,-10.753,0.0,0.233,0.6659999999999999,0.0014199999999999998,0.0968,0.235,97.06299999999999,spotify:track:3pjUyVbFmM96tYhSaKJwTt,331480.0,4.0,26.0
95,96,2017-01-01,Bryson Tiller,Don't,"213,378",0.765,0.35600000000000004,11.0,-5.556,0.0,0.196,0.222,0.0,0.0963,0.19,97.001,spotify:track:3pXF1nA74528Edde4of9CC,198293.0,4.0,426.0
96,97,2017-01-01,Ugly God,Water,"210,924",0.816,0.245,0.0,-15.617,0.0,0.414,0.616,0.000813,0.127,0.187,140.04,spotify:track:7EoSDrwBPUBeBEORrpvgko,138936.0,4.0,136.0
97,98,2017-01-01,Daryl Hall & John Oates,Rich Girl,"210,173",0.573,0.6829999999999999,5.0,-6.644,1.0,0.17600000000000002,0.461,0.0,0.0935,0.8170000000000001,169.519,spotify:track:0qRR9d89hIS0MHRkQ0ejxX,142787.0,4.0,5.0
98,99,2017-01-01,Lil Uzi Vert,Erase Your Social,"208,263",0.705,0.609,3.0,-5.728,1.0,0.0729,0.6940000000000001,0.0,0.23399999999999999,0.718,140.058,spotify:track:4uhvMW7ly7tJil31YYscAN,199993.0,4.0,160.0
99,100,2017-01-01,Flume,Never Be Like You,"207,102",0.444,0.557,0.0,-5.476,1.0,0.0602,0.45299999999999996,0.0,0.152,0.29600000000000004,115.05799999999999,spotify:track:5WI2ltQIdwgzf1SNE76JyR,234910.0,4.0,53.0
100,101,2017-01-01,Nevada,The Mack,"206,028",0.711,0.882,0.0,-4.276,1.0,0.0576,0.0626,0.0,0.226,0.56,106.01700000000001,spotify:track:2fUZ3aMp8amSaV0mp8s6rQ,167038.0,4.0,13.0
101,102,2017-01-01,Kiiara,Gold,"205,831",0.6,0.41200000000000003,8.0,-9.343,1.0,0.344,0.615,0.0025,0.134,0.408,113.04899999999999,spotify:track:6ZSO7kPn8IMJFymyticbJO,225882.0,5.0,37.0
102,103,2017-01-01,Bryson Tiller,Exchange,"205,357",0.53,0.433,6.0,-10.597999999999999,1.0,0.185,0.10800000000000001,0.0,0.135,0.27399999999999997,160.14,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,194613.0,4.0,395.0
103,104,2017-01-01,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,"205,345",0.6409999999999999,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078,spotify:track:3bidbhpOYeV4knp8AIu8Xn,258343.0,4.0,7.0
104,105,2017-01-01,Daryl Hall & John Oates,You Make My Dreams,"204,880",0.7509999999999999,0.501,5.0,-12.151,1.0,0.0552,0.23399999999999999,0.11199999999999999,0.0467,0.902,167.058,spotify:track:4o6BgsqLIBViaGVbx5rbRk,190627.0,4.0,7.0
105,106,2017-01-01,The Weeknd,Die For You,"203,645",0.5820000000000001,0.525,1.0,-7.162999999999999,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,260253.0,4.0,187.0
106,107,2017-01-01,PnB Rock,Selfish,"201,991",0.638,0.6,1.0,-5.84,0.0,0.0438,0.114,0.0,0.187,0.0399,101.98100000000001,spotify:track:2xbI8Vmyv3TkpTdywpPyNw,245604.0,4.0,232.0
107,108,2017-01-01,AJR,Weak,"200,498",0.67,0.643,5.0,-4.553,1.0,0.0465,0.11800000000000001,0.0,0.192,0.703,123.979,spotify:track:5DZwnLxHjWTZaz9jOpRhxb,201159.0,4.0,226.0
108,109,2017-01-01,PARTYNEXTDOOR,Come and See Me (feat. Drake),"200,095",0.7170000000000001,0.34700000000000003,11.0,-10.265,0.0,0.0636,0.0511,2.43e-06,0.087,0.0589,84.98700000000001,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,235477.0,4.0,166.0
