peak_rank,median_rank,days,peak_streams,median_streams,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
23.0,129.0,184.0,479560.0,225340.5,Ariana Grande,Side To Side,0.65,0.736,6.0,-5.84,0.0,0.229,0.0513,0.0,0.235,0.612,159.174,spotify:track:1pKeFVVUOPjFsOABub0OaV,226160.0,4.0
26.0,150.5,110.0,438954.0,197235.5,Shawn Mendes,Treat You Better,0.444,0.8190000000000001,10.0,-4.078,0.0,0.341,0.106,0.0,0.107,0.747,82.695,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,187973.0,4.0
18.0,113.0,150.0,523541.0,227861.0,Martin Garrix,In the Name of Love,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,spotify:track:23L5CiUhw2jV1OIMwthR3S,195707.0,4.0
24.0,55.0,98.0,489685.0,361590.5,Drake,Sneakin’,0.8059999999999999,0.5579999999999999,8.0,-6.5379999999999985,1.0,0.172,0.00496,1.45e-06,0.16,0.26,85.01100000000002,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,251333.0,4.0
29.0,162.0,198.0,417329.0,191140.5,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.669,0.8320000000000001,0.0,-5.72,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,237547.0,4.0
30.0,166.0,110.0,405483.0,185992.0,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),0.8029999999999999,0.585,8.0,-5.8610000000000015,1.0,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,spotify:track:4tCtwWceOPWzenK2HAIJSb,214480.0,4.0
25.0,136.0,209.0,424996.0,219750.0,Twenty One Pilots,Heathens,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.5479999999999999,90.024,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920.0,4.0
26.0,103.0,281.0,491180.0,258442.0,Lil Uzi Vert,You Was Right,0.843,0.359,0.0,-7.417000000000002,1.0,0.461,0.069,0.0,0.12,0.156,81.98700000000002,spotify:track:2ANLarE8yHVsLWW21nj79M,163944.0,4.0
33.0,159.0,67.0,370887.0,178270.0,Ariana Grande,Into You,0.623,0.7340000000000001,9.0,-5.95,1.0,0.107,0.0162,1.9e-06,0.145,0.3720000000000001,107.853,spotify:track:2meEiZKWkiN28gITzFwQo5,244453.0,4.0
34.0,108.0,127.0,370419.0,242632.0,Drake,Too Good,0.7929999999999999,0.653,7.0,-7.838999999999999,1.0,0.103,0.0484,4.91e-05,0.1,0.393,117.993,spotify:track:3BtuIIrQlkujKPuWF2B85z,263373.0,4.0
35.0,126.0,165.0,365140.0,227075.0,Drake,Controlla,0.611,0.468,10.0,-11.084,0.0,0.179,0.0781,0.0,0.101,0.349,92.092,spotify:track:3O8NlPh2LByMU9lSRSHedm,245227.0,4.0
36.0,155.0,44.0,362959.0,170488.5,Calvin Harris,This Is What You Came For (feat. Rihanna),0.63,0.928,9.0,-2.787,0.0,0.0331,0.199,0.124,0.14800000000000002,0.465,123.963,spotify:track:0azC730Exh71aQlOt9Zj3y,222160.0,4.0
