rank,date,artist,title,max_streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
26,2017-01-01,Shawn Mendes,Treat You Better,438954,0.444,0.8190000000000001,10.0,-4.078,0.0,0.341,0.106,0.0,0.107,0.747,82.695,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,187973.0,4.0
27,2017-01-01,Martin Garrix,In the Name of Love,523541,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.45399999999999996,0.168,133.99,spotify:track:23L5CiUhw2jV1OIMwthR3S,195707.0,4.0
28,2017-01-01,Drake,Sneakin’,489685,0.8059999999999999,0.5579999999999999,8.0,-6.537999999999999,1.0,0.172,0.00496,1.45e-06,0.16,0.26,85.01100000000001,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,251333.0,4.0
29,2017-01-01,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",417329,0.669,0.8320000000000001,0.0,-5.72,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,237547.0,4.0
30,2017-01-01,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),405483,0.8029999999999999,0.585,8.0,-5.861000000000001,1.0,0.0432,0.10300000000000001,3.94e-06,0.0644,0.593,105.01700000000001,spotify:track:4tCtwWceOPWzenK2HAIJSb,214480.0,4.0
31,2017-01-01,Twenty One Pilots,Heathens,424996,0.732,0.396,4.0,-9.347999999999999,0.0,0.0286,0.0841,3.5799999999999996e-05,0.105,0.5479999999999999,90.024,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920.0,4.0
32,2017-01-01,Lil Uzi Vert,You Was Right,491180,0.843,0.359,0.0,-7.417000000000001,1.0,0.461,0.069,0.0,0.12,0.156,81.98700000000001,spotify:track:2ANLarE8yHVsLWW21nj79M,163944.0,4.0
33,2017-01-01,Ariana Grande,Into You,370887,0.623,0.7340000000000001,9.0,-5.95,1.0,0.107,0.0162,1.9e-06,0.145,0.37200000000000005,107.853,spotify:track:2meEiZKWkiN28gITzFwQo5,244453.0,4.0
34,2017-01-01,Drake,Too Good,370419,0.7929999999999999,0.653,7.0,-7.8389999999999995,1.0,0.10300000000000001,0.0484,4.91e-05,0.1,0.39299999999999996,117.993,spotify:track:3BtuIIrQlkujKPuWF2B85z,263373.0,4.0
35,2017-01-01,Drake,Controlla,365140,0.611,0.46799999999999997,10.0,-11.084000000000001,0.0,0.179,0.0781,0.0,0.10099999999999999,0.349,92.09200000000001,spotify:track:3O8NlPh2LByMU9lSRSHedm,245227.0,4.0
36,2017-01-01,Calvin Harris,This Is What You Came For (feat. Rihanna),362959,0.63,0.9279999999999999,9.0,-2.787,0.0,0.0331,0.19899999999999998,0.124,0.14800000000000002,0.465,123.963,spotify:track:0azC730Exh71aQlOt9Zj3y,222160.0,4.0
37,2017-01-01,James Arthur,Say You Won't Let Go,653515,0.358,0.557,10.0,-7.398,1.0,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999999,spotify:track:5uCax9HTNlzGybIStD3vDh,211467.0,4.0
38,2017-01-01,The Chainsmokers,All We Know (feat. Phoebe Ryan),467668,0.662,0.586,0.0,-8.821,1.0,0.0307,0.09699999999999999,0.0027199999999999998,0.115,0.29600000000000004,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,194080.0,4.0
39,2017-01-01,Young Thug,pick up the phone,380130,0.711,0.7390000000000001,7.0,-3.804,0.0,0.129,0.114,0.0,0.226,0.43,136.91899999999998,spotify:track:20dP2DaMHIAmwWAbp7peSr,252256.0,4.0
40,2017-01-01,KYLE,iSpy (feat. Lil Yachty),1299465,0.746,0.653,7.0,-6.745,1.0,0.289,0.37799999999999995,0.0,0.22899999999999998,0.672,75.016,spotify:track:2EEeOnHehOozLq4aS0n6SL,253107.0,4.0
41,2017-01-01,Sia,Cheap Thrills,376934,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,spotify:track:3S4px9f4lceWdKf0gWciFu,211667.0,4.0
42,2017-01-01,Rihanna,Needed Me,344210,0.6709999999999999,0.314,5.0,-8.091000000000001,0.0,0.244,0.11,0.0,0.0825,0.29600000000000004,110.898,spotify:track:4pAl7FkDMNBsjykPXo91B3,191600.0,4.0
43,2017-01-01,Major Lazer,Cold Water (feat. Justin Bieber & MØ),,,,,,,,,,,,,,,
44,2017-01-01,Desiigner,Panda,332310,0.685,0.731,10.0,-5.502999999999999,0.0,0.414,0.0292,0.0,0.369,0.266,145.245,spotify:track:275a9yzwGB6ncAW4SxY7q3,247867.0,4.0
45,2017-01-01,Alessia Cara,Scars To Your Beautiful,426331,0.573,0.7390000000000001,0.0,-5.74,1.0,0.129,0.0285,0.0,0.111,0.451,97.085,spotify:track:0prNGof3XqfTvNDxHonvdK,230227.0,4.0
