artist,days,median danceability,median energy,median loudness,median speechiness,median acousticness,median liveness,median valence,median tempo,pc1,pc2,cluster
Justin Timberlake,419.0,0.7070000000000001,0.62,-6.6339999999999995,0.0517,0.10300000000000001,0.183,0.574,113.01899999999999,0.38331718189594355,-0.07794960188303873,4
Fifth Harmony,217.0,0.5920000000000001,0.525,-6.297999999999999,0.0439,0.10300000000000001,0.128,0.401,124.008,-0.36724939203473217,-0.38087930674023196,5
Twenty One Pilots,691.0,0.708,0.6045,-7.294499999999999,0.04675,0.0794,0.109,0.47250000000000003,110.99349999999998,-0.47754305674469183,-0.6190292386623165,5
Lil Uzi Vert,4621.0,0.775,0.6579999999999999,-6.057,0.213,0.0715,0.155,0.49,135.879,0.45530567984505244,-0.5960866556695696,2
Calvin Harris,1019.0,0.7759999999999999,0.785,-3.87,0.0545,0.152,0.14800000000000002,0.606,116.00299999999999,0.7732164145092889,-1.157826089778885,2
James Arthur,829.0,0.529,0.557,-6.164,0.0574,0.237,0.0902,0.479,107.969,-0.8531105507344785,-0.517623487464384,5
Young Thug,1925.0,0.852,0.531,-8.052999999999999,0.215,0.0247,0.135,0.43,138.049,-0.2124671490540961,-0.34918076487418714,5
KYLE,709.0,0.746,0.584,-6.745,0.14,0.121,0.297,0.6759999999999999,156.572,1.5572732754544911,0.9567308557584967,4
Sia,217.0,0.628,0.703,-5.608,0.0817,0.034,0.0894,0.561,112.009,-0.122802239278769,-1.269995018415634,2
Rihanna,474.0,0.6890000000000001,0.5855,-5.534,0.07585,0.08075,0.0872,0.46799999999999997,117.90950000000001,-0.4171657762101164,-1.1065430571352053,5
Desiigner,287.0,0.6845000000000001,0.728,-5.1105,0.21799999999999997,0.0698,0.2925,0.33,132.04399999999998,1.9541193331951108,0.48938042083991024,4
Alessia Cara,151.0,0.5475,0.5974999999999999,-6.5275,0.126,0.0692,0.2865,0.44400000000000006,133.926,1.3659734637797019,0.977173580826815,4
Adele,123.0,0.5740000000000001,0.48750000000000004,-7.455,0.05255,0.18875,0.10650000000000001,0.3805,126.47400000000002,-0.9571661117512658,-0.14972259413617042,5
John Legend,79.0,0.488,0.7070000000000001,-6.276,0.0865,0.591,0.125,0.5820000000000001,123.889,-0.6959145427608909,0.15331603264032287,5
Justin Bieber,619.0,0.6565,0.53,-6.878,0.04585,0.40199999999999997,0.118,0.617,134.483,-0.8379663157903565,-0.01742580500830488,5
Zay Hilfigerrr,35.0,0.807,0.887,-3.892,0.275,0.00381,0.391,0.78,160.517,3.7978134835833894,0.5871616800412383,7
The Jackson 5,53.0,0.6395,0.621,-11.3225,0.05065,0.291,0.26,0.909,137.803,0.24766540148606667,1.762167686850238,6
DNCE,4.0,0.773,0.7485,-5.6240000000000006,0.04575,0.10385,0.061149999999999996,0.8779999999999999,119.5335,-0.2344941635706807,-1.693216517101094,2
Future,2371.0,0.799,0.561,-6.9510000000000005,0.215,0.0613,0.149,0.32899999999999996,140.064,0.04392667540529611,-0.35215302634557527,5
Travis Scott,4280.0,0.7090000000000001,0.6185,-5.3905,0.05565,0.07625,0.1535,0.269,140.4795,0.26181291427802195,-0.6044347719390314,2
Childish Gambino,861.0,0.6859999999999999,0.505,-9.7225,0.11499999999999999,0.158,0.11599999999999999,0.3605,118.3685,-1.0949634787168199,0.21667328641732048,1
Steve Aoki,120.0,0.647,0.866,-3.517,0.0585,0.0702,0.72,0.387,96.09700000000001,6.418564941206618,3.917105280944599,0
Michael Jackson,21.0,0.8315,0.8334999999999999,-4.269,0.0465,0.08505,0.475,0.8434999999999999,118.49100000000001,4.153472951468563,1.6114308281083574,7
Clean Bandit,594.0,0.7135,0.6325000000000001,-4.5635,0.048549999999999996,0.279,0.159,0.511,105.0035,0.22407643405579247,-0.4133061461829966,5
Marvin Gaye,8.0,0.6629999999999999,0.6,-10.87,0.032,0.43,0.184,0.8,129.991,-0.7037431698746185,1.2415616005246015,1
Lil Wayne,835.0,0.743,0.639,-5.372999999999999,0.28,0.14300000000000002,0.152,0.535,122.07799999999999,0.4264035665327927,-0.5588214638044502,2
Shakira,156.0,0.775,0.8220000000000001,-4.862,0.0776,0.187,0.20199999999999999,0.868,107.661,1.255716164545382,-0.5114257570554437,4
Foster The People,18.0,0.68,0.738,-4.976,0.0292,0.145,0.37,0.675,105.015,2.606840726371277,1.2132407328799815,7
G-Eazy,1027.0,0.7635000000000001,0.718,-5.2055,0.2425,0.06525,0.1285,0.366,115.02000000000001,0.3845741378794533,-1.0248222308438497,2
DJ ESCO,53.0,0.9285,0.5895,-6.544500000000001,0.18730000000000002,0.04965,0.1635,0.3425,136.5,0.35285002934308657,-0.4789659666797224,2
